Player Name,Team,War
Paul Sewald,CLE,0
Ezequiel Duran,TEX,0
Ryan Bliss,SEA,0
Cody Bolton,CLE,0
Jack Little,LAD,0
Bryce Miller,SEA,0
Nick Raquet,STL,0
Gerson Garabito,TEX,0
Austin Slater,CHW,0
Luken Baker,STL,0
César Salazar,HOU,0
Scott Effross,NYY,0
Reiver Sanmartin,CIN,0
Kenedy Corona,HOU,0
Hayden Senger,NYM,0
Christian Montes De Oca,ARI,0
Jhonathan Díaz,SEA,0
Joel Peguero,SFG,0
Nathan Wiles,ATL,0
Griffin Conine,MIA,0
Ali Sánchez,TOR,0
Gustavo Campero,LAA,0
Connor Seabold,TBR,0
Justin Bruihl,TOR,0
Akil Baddoo,DET,0
Luis Rengifo,LAA,0
Andre Granillo,STL,0
José Quijada,LAA,0
Brooks Kriske,CHC,0
Omar Narváez,CHW,0
Tim Tawa,ARI,0
Kyle Karros,COL,0
Freddy Tarnok,MIA,0
Ryan Borucki,PIT,0
Tyler Black,MIL,0
Nolan Hoffman,PHI,0
Davis Daniel,ATL,0
John Curtiss,ARI,0
Grant Holman,ATH,0
Stuart Fairchild,ATL,0
Brian Van Belle,TBR,0
Jake Palisch,CHW,0
Doug Nikhazy,CLE,0
Will Benson,CIN,0
Jacob Barnes,TOR,0
Carlos Rodriguez,MIL,0
Justin Garza,NYM,0
Austin Pope,ARI,0
David Bañuelos,BAL,0
Chad Wallach,LAA,0
Colby Thomas,ATH,0
Justyn-Henry Malloy,DET,0
Christian Roa,MIA,0
Alex Lange,DET,0
Luis F. Castillo,SEA,0
Joey Gerber,TBR,0
Jhostynxon Garcia,BOS,0
Carson Fulmer,LAA,0
Carson Spiers,CIN,0
A.J. Puk,ARI,0
Lou Trivino,SFG,0
Alan Rangel,PHI,0
Dylan Smith,DET,0
Jake Woodford,ARI,0
Rowdy Tellez,SEA,0
José Urquidy,DET,0
Elvis Peguero,MIL,0
Rafael Flores,PIT,0
Yaramil Hiraldo,BAL,0
Rob Brantly,MIA,0
Billy Cook,PIT,0
Sam Hilliard,COL,0
Cody Poteet,BAL,0
Owen White,CHW,0
Matt Bowman,BAL,0
Michael Darrell-Hicks,LAA,0
Luis Guerrero,BOS,0
Nick Anderson,COL,0
Casey Kelly,ARI,0
Bryan Ramos,CHW,0
Hayden Birdsong,SFG,0
Jordan Weems,HOU,0
Dom Hamel,NYM,0
Justin Dean,LAD,0
Michael Fulmer,CHC,0
Calvin Faucher,MIA,0
Frankie Montas,NYM,0
Isaiah Campbell,BOS,0
Rob Zastryzny,MIL,0
Seth Johnson,PHI,0
Fraser Ellard,CHW,0
Jonathan Pintaro,NYM,0
Dom Nuñez,CLE,0
Tim Hill,NYY,0
Randy Wynne,CIN,0
Matt Vierling,DET,0
Terrin Vavra,BAL,0
Michael Stefanic,TOR,0
Marc Church,TEX,0
Carl Edwards Jr.,LAA,0
Tanner Scott,LAD,0
Greg Jones,CHW,0
Carson Ragsdale,BAL,0
Bailey Horn,DET,0
Keston Hiura,COL,0
Tyler Owens,DET,0
Agustín Ramírez,MIA,0
Corey Julks,CHW,0
Vidal Bruján,CHC,0
Tristan Beck,SFG,0
Hayden Harris,ATL,0
Sauryn Lao,SEA,0
Bryce Jarvis,ARI,0
Alejandro Osuna,TEX,0
Tucker Barnhart,TEX,0
Adam Ottavino,NYY,0
Adrian Del Castillo,ARI,0
Garrett Stubbs,PHI,0
Michael Petersen,ATL,0
Liam Hendriks,BOS,0
Yilber Díaz,ARI,0
Gavin Hollowell,CHC,0
Angel Perdomo,ATH,0
Logan Porter,SFG,0
Brett de Geus,PHI,0
Mitch Garver,SEA,0
Donovan Solano,SEA,0
Ty Adcock,NYM,0
Emerson Hancock,SEA,0
Jared Young,NYM,0
Lucas Gilbreath,COL,0
Chuckie Robinson,LAD,0
Coco Montes,TBR,0
Garrett Acton,TBR,0
Mason McCoy,SDP,0
Yosver Zulueta,CIN,0
Dane Myers,MIA,0
Easton Lucas,TOR,0
Kyle Backhus,ARI,0
Luke Little,CHC,0
Carlos Duran,ATH,0
Luis Guillorme,HOU,0
Jeff Brigham,ARI,0
Mitch Spence,ATH,0
Dugan Darnell,COL,0
Harry Ford,SEA,0
Cooper Criswell,BOS,0
Cole Wilcox,TBR,0
Connor Gillispie,MIA,0
Nick Yorke,PIT,-0.1
Logan Evans,SEA,-0.1
Blake Treinen,LAD,-0.1
Dustin Harris,TEX,-0.1
Rhylan Thomas,SEA,-0.1
Chadwick Tromp,ATL,-0.1
Alan Roden,TOR,-0.1
Daniel Robert,PHI,-0.1
T.J. McFarland,ATH,-0.1
Caleb Freeman,CHW,-0.1
Robert Gasser,MIL,-0.1
Chris Stratton,KCR,-0.1
Travis Jankowski,CHW,-0.1
Willie MacIver,ATH,-0.1
Dairon Blanco,KCR,-0.1
Jake Burger,TEX,-0.1
Luis Contreras,HOU,-0.1
Randy Dobnak,MIN,-0.1
C.J. Stubbs,WSN,-0.1
Andrew Walters,CLE,-0.1
Roki Sasaki,LAD,-0.1
Chase Shugart,PIT,-0.1
Brandon Young,BAL,-0.1
Roansy Contreras,BAL,-0.1
Jonathan Ornelas,TEX,-0.1
Brandon Waddell,NYM,-0.1
Michael A. Taylor,CHW,-0.1
Mason Black,SFG,-0.1
Xzavion Curry,MIA,-0.1
Drew Romo,COL,-0.1
Nick Ahmed,TEX,-0.1
Spencer Turnbull,TOR,-0.1
Aramis Garcia,ARI,-0.1
Lazaro Estrada,TOR,-0.1
José Castillo,ARI,-0.1
José Ureña,NYM,-0.1
Reynaldo López,ATL,-0.1
Justin Foscue,TEX,-0.1
Joel Payamps,MIL,-0.1
Robinson Piña,MIA,-0.1
Hunter Stratton,PIT,-0.1
Logan VanWey,HOU,-0.1
Jake Eder,LAA,-0.1
Masataka Yoshida,BOS,-0.1
Michael Mercado,PHI,-0.1
Ben Bowden,ATH,-0.1
Antonio Senzatela,COL,-0.1
Dillon Tate,TOR,-0.1
Sam Moll,CIN,-0.1
Cal Stevenson,PHI,-0.1
Chase Lee,DET,-0.1
David Villar,SFG,-0.1
Kirby Yates,LAD,-0.1
Michael Siani,STL,-0.1
Spencer Arrighetti,HOU,-0.1
Jesse Winker,NYM,-0.1
Blas Castaño,SEA,-0.1
Jacob Hurtubise,CIN,-0.1
Dane Dunning,TEX,-0.1
Julian Merryweather,CHC,-0.1
Tayler Saucedo,SEA,-0.1
Kenta Maeda,DET,-0.1
John Rooney,HOU,-0.1
Zach Maxwell,CIN,-0.1
Michael Tonkin,MIN,-0.1
Bryan Hudson,MIL,-0.1
Henry Davis,PIT,-0.1
Blaine Crim,TEX,-0.1
José Azocar,NYM,-0.1
Julian Fernández,LAD,-0.1
Casey Legumina,SEA,-0.1
Sandy León,ATL,-0.1
Dalton Rushing,LAD,-0.1
Jordyn Adams,BAL,-0.1
Jayvien Sandridge,NYY,-0.1
Dylan Moore,SEA,-0.1
Luarbert Arias,MIA,-0.1
Robert Stock,BOS,-0.1
Mike Clevinger,CHW,-0.1
Christopher Morel,TBR,-0.1
Chris Roycroft,STL,-0.1
Brett Wisely,SFG,-0.1
Samad Taylor,SEA,-0.1
Bobby Miller,LAD,-0.1
Erasmo Ramírez,MIN,-0.1
Will Brennan,CLE,-0.1
Mason Thompson,WSN,-0.1
Drew Sommers,DET,-0.1
David Robertson,PHI,-0.1
Matt Sauer,LAD,-0.1
Allan Winans,NYY,-0.1
Daniel Johnson,SFG,-0.1
Sean Hjelle,SFG,-0.1
Josh Lowe,TBR,-0.1
Triston McKenzie,CLE,-0.1
Landon Knack,LAD,-0.1
Andrew McCutchen,PIT,-0.1
Andry Lara,WSN,-0.1
Tyler Callihan,CIN,-0.1
Penn Murfee,CHW,-0.1
Darell Hernaiz,ATH,-0.1
Wade Miley,CIN,-0.1
Maximo Acosta,MIA,-0.1
Drey Jameson,ARI,-0.1
Jake McCarthy,ARI,-0.1
Miguel Castro,CHW,-0.1
Scott McGough,ARI,-0.1
Héctor Neris,ATL,-0.1
Sergio Alcántara,SFG,-0.1
Nick Sogard,BOS,-0.1
JJ Bleday,ATH,-0.1
Tony Gonsolin,LAD,-0.1
Nick Maton,CHW,-0.1
Ian Anderson,LAA,-0.1
Tsung-Che Cheng,PIT,-0.1
Shawn Dubin,HOU,-0.1
Donovan Walton,PHI,-0.1
César Prieto,STL,-0.1
Angel Martínez,CLE,-0.1
Matt Waldron,SDP,-0.1
Daz Cameron,MIL,-0.1
Manuel Margot,DET,-0.1
Joe Ross,PHI,-0.1
Seth Martinez,MIA,-0.1
Ryan Johnson,LAA,-0.1
Carter Kieboom,LAA,-0.2
Craig Yoho,MIL,-0.2
Jack Winkler,MIA,-0.2
Jon Singleton,HOU,-0.2
Chas McCormick,HOU,-0.2
Ben Joyce,LAA,-0.2
Bruce Zimmermann,MIL,-0.2
Geoff Hartlieb,NYY,-0.2
Connor Kaiser,ARI,-0.2
Michael Kelly,ATH,-0.2
Tyler Holton,DET,-0.2
Carlos Carrasco,NYY,-0.2
Kyle Nelson,ARI,-0.2
Kyle Hart,SDP,-0.2
Taylor Trammell,HOU,-0.2
Forrest Whitley,HOU,-0.2
Luke Jackson,TEX,-0.2
Tommy Henry,ARI,-0.2
Daniel Lynch IV,KCR,-0.2
Edgar Quero,CHW,-0.2
Bryce Eldridge,SFG,-0.2
Logan Gillaspie,SDP,-0.2
Tyler Zuber,NYM,-0.2
Nick Hernandez,HOU,-0.2
Brooks Baldwin,CHW,-0.2
Troy Taylor,SEA,-0.2
Cam Sanders,PIT,-0.2
Sam Huff,SFG,-0.2
Erick Fedde,STL,-0.2
Ryan Vilade,STL,-0.2
Luis Mey,CIN,-0.2
Nate Pearson,CHC,-0.2
Will Banfield,CIN,-0.2
Kristian Campbell,BOS,-0.2
Valente Bellozo,MIA,-0.2
Billy McKinney,TEX,-0.2
Anthony Seigler,MIL,-0.2
Nolan Gorman,STL,-0.2
José Ruiz,PHI,-0.2
Codi Heuer,TEX,-0.2
Tirso Ornelas,SDP,-0.2
Lance McCullers Jr.,HOU,-0.2
J.D. Davis,LAA,-0.2
Colin Poche,WSN,-0.2
Anthony Veneziano,MIA,-0.2
Otto Kemp,PHI,-0.2
Eduarniel Núñez,SDP,-0.2
Payton Tolle,BOS,-0.2
Anthony Misiewicz,MIN,-0.2
Rolddy Muñoz,ATL,-0.2
Anthony Maldonado,ATH,-0.2
Chris Murphy,BOS,-0.2
Max Lazar,PHI,-0.2
Dan Altavilla,CHW,-0.2
Rich Hill,KCR,-0.2
Sebastián Rivero,LAA,-0.2
Victor Robles,SEA,-0.2
Paul Gervase,TBR,-0.2
J.P. Feyereisen,ARI,-0.2
Wander Suero,ATL,-0.2
Gage Workman,CHC,-0.2
Corbin Martin,BAL,-0.2
Jose Corniell,TEX,-0.2
Hunter Bigge,TBR,-0.2
Cionel Pérez,BAL,-0.2
Gary Sánchez,BAL,-0.2
Luis Vázquez,BAL,-0.2
Luis Matos,SFG,-0.2
Jose Iglesias,SDP,-0.2
Cavan Biggio,KCR,-0.2
Wilmer Flores,SFG,-0.2
Gregory Santos,SEA,-0.2
Jesse Hahn,SEA,-0.2
José Barrero,STL,-0.2
Connor Thomas,MIL,-0.2
Blake Sabol,BOS,-0.2
Kendall Graveman,ARI,-0.2
Garrett Hampson,ARI,-0.2
Ethan Roberts,CHC,-0.2
Ji Hwan Bae,PIT,-0.2
Jackson Kowar,SEA,-0.2
Erik Swanson,TOR,-0.2
John Brebbia,DET,-0.2
Andrew Hoffmann,KCR,-0.2
Jorbit Vivas,NYY,-0.2
Tommy Kahnle,DET,-0.2
Cooper Hummel,HOU,-0.2
Will Wagner,TOR,-0.3
Samuel Basallo,BAL,-0.3
Thairo Estrada,COL,-0.3
Jonathan India,KCR,-0.3
Roddery Muñoz,STL,-0.3
Zach Eflin,BAL,-0.3
Sean Reynolds,SDP,-0.3
Seth Halvorsen,COL,-0.3
José Leclerc,ATH,-0.3
Jose Herrera,ARI,-0.3
CJ Alexander,ATH,-0.3
Matthew Lugo,LAA,-0.3
Michel Otañez,ATH,-0.3
Brady House,WSN,-0.3
Chris Flexen,CHC,-0.3
Austin Barnes,LAD,-0.3
Jorge Alfaro,WSN,-0.3
Jonatan Clase,TOR,-0.3
Cole Henry,WSN,-0.3
Sawyer Gipson-Long,DET,-0.3
Leo Jiménez,TOR,-0.3
Nicky Lopez,LAA,-0.3
Zack Gelof,ATH,-0.3
Sam Aldegheri,LAA,-0.3
Eli Morgan,CHC,-0.3
Cole Young,SEA,-0.3
Garrett McDaniels,LAA,-0.3
Cody Freeman,TEX,-0.3
Victor Mederos,LAA,-0.3
Matt Gorski,PIT,-0.3
Drew Avans,ATH,-0.3
Chase Petty,CIN,-0.3
Richard Lovelady,TOR,-0.3
Justin Turner,CHC,-0.3
Blade Tidwell,NYM,-0.3
Trent Thornton,SEA,-0.3
Thomas Harrington,PIT,-0.3
Andrew Heaney,PIT,-0.3
Enrique Hernández,LAD,-0.3
Travis Adams,MIN,-0.3
Jacob Melton,HOU,-0.3
Connor Brogdon,LAA,-0.3
Jace Jung,DET,-0.3
Carson Williams,TBR,-0.3
Ryan Fernandez,STL,-0.3
Jesse Chavez,ATL,-0.3
Kevin Pillar,TEX,-0.3
Oliver Dunn,MIL,-0.3
Travis d'Arnaud,LAA,-0.3
Zac Veen,COL,-0.3
Thomas Hatch,KCR,-0.3
Yuki Matsui,SDP,-0.3
Tristin English,ARI,-0.3
Kaleb Ort,HOU,-0.3
Brendan Rodgers,HOU,-0.3
Richard Fitts,BOS,-0.3
Aaron Schunk,COL,-0.3
Walker Buehler,BOS,-0.3
Santiago Espinal,CIN,-0.3
Orlando Ribalta,WSN,-0.3
Jorge Soler,LAA,-0.3
Shay Whitcomb,HOU,-0.3
Juan Burgos,SEA,-0.3
Greg Allen,BAL,-0.3
Zach Brzykcy,WSN,-0.3
Tyler Wade,SDP,-0.3
Bob Seymour,TBR,-0.3
Joey Estes,ATH,-0.3
Oscar Gonzalez,SDP,-0.3
McCade Brown,COL,-0.3
Tyler O'Neill,BAL,-0.3
Ryan Pressly,CHC,-0.3
Nathaniel Lowe,WSN,-0.3
Tanner Houck,BOS,-0.3
Alan Trejo,COL,-0.3
Nick Solak,PIT,-0.4
Daysbel Hernández,ATL,-0.4
Luis Campusano,SDP,-0.4
Chris Taylor,LAD,-0.4
Dylan Carlson,BAL,-0.4
Gio Urshela,ATH,-0.4
Grant McCray,SFG,-0.4
Seth Brown,ATH,-0.4
Sam Long,KCR,-0.4
Austin Gomber,COL,-0.4
Chad Stevens,LAA,-0.4
Niko Kavadas,LAA,-0.4
Jordan Romano,PHI,-0.4
Weston Wilson,PHI,-0.4
Chayce McDermott,BAL,-0.4
Caden Dana,LAA,-0.4
Ryan Mountcastle,BAL,-0.4
Zach Agnos,COL,-0.4
Emmanuel Rivera,BAL,-0.4
Max Muncy,ATH,-0.4
Tristan Peters,TBR,-0.4
Joe La Sorsa,CIN,-0.4
Jeff Hoffman,TOR,-0.4
Eric Wagaman,MIA,-0.4
Warming Bernabel,COL,-0.4
Jorge Barrosa,ARI,-0.4
Ryan Loutos,STL,-0.4
Jake Irvin,WSN,-0.4
Jose Siri,NYM,-0.4
Ryan Noda,LAA,-0.4
Jose Miranda,MIN,-0.4
Hunter Feduccia,LAD,-0.4
Carson McCusker,MIN,-0.4
Ryan Kreidler,DET,-0.4
Zach Pop,SEA,-0.4
Carson Whisenhunt,SFG,-0.4
Bryan De La Cruz,ATL,-0.4
Josh Simpson,MIA,-0.4
Gunnar Hoglund,ATH,-0.4
Cam Devanney,PIT,-0.4
Yuli Gurriel,SDP,-0.4
Randal Grichuk,KCR,-0.4
Jimmy Crooks,STL,-0.4
Pablo Reyes,NYY,-0.4
Scott Kingery,LAA,-0.4
Michael Massey,KCR,-0.4
John King,STL,-0.4
Alek Jacob,SDP,-0.4
Johnathan Rodríguez,CLE,-0.4
Jon Gray,TEX,-0.4
Andrés Chaparro,WSN,-0.4
Matt Mervis,MIA,-0.4
Tim Herrin,CLE,-0.4
Nolan Jones,CLE,-0.4
Luke Williams,ATL,-0.4
Lucas Sims,WSN,-0.5
Denzer Guzman,LAA,-0.5
Colin Holderman,PIT,-0.5
Ben Rortvedt,LAD,-0.5
Scott Blewett,MIN,-0.5
Nick Martini,COL,-0.5
Robert Hassell III,WSN,-0.5
Beau Brieske,DET,-0.5
Jordan Lawlar,ARI,-0.5
Alexander Canario,PIT,-0.5
Joe Mantiply,ARI,-0.5
Konnor Pilkington,WSN,-0.5
Jon Berti,CHC,-0.5
Braxton Fulford,COL,-0.5
Austin Nola,COL,-0.5
Didier Fuentes,ATL,-0.5
Jonah Heim,TEX,-0.5
Alex Carrillo,NYM,-0.5
Eduardo Salazar,WSN,-0.5
Jarred Kelenic,ATL,-0.5
Jackson Rutledge,WSN,-0.5
Kris Bryant,COL,-0.5
Everson Pereira,TBR,-0.5
Will Wilson,CLE,-0.5
Shaun Anderson,LAA,-0.5
Rece Hinds,CIN,-0.5
Bryse Wilson,CHW,-0.5
Kevin Kelly,TBR,-0.5
Lane Thomas,CLE,-0.5
Jason Heyward,SDP,-0.5
Shinnosuke Ogasawara,WSN,-0.5
Trenton Brooks,SDP,-0.5
José Fermin,LAA,-0.5
Keegan Akin,BAL,-0.5
Jonathan Loáisiga,NYY,-0.5
Jack Suwinski,PIT,-0.5
Tim Elko,CHW,-0.5
Anthony Molina,COL,-0.6
Osvaldo Bido,ATH,-0.6
Cam Booser,CHW,-0.6
Austin Cox,ATL,-0.6
Nick Castellanos,PHI,-0.6
David Fry,CLE,-0.6
Maverick Handley,BAL,-0.6
Carlos Vargas,SEA,-0.6
MJ Melendez,KCR,-0.6
Jack Kochanowicz,LAA,-0.6
Michael Conforto,LAD,-0.6
Riley Adams,WSN,-0.6
Carson Palmquist,COL,-0.6
Drew Waters,KCR,-0.6
Ryan Zeferjahn,LAA,-0.6
Triston Casas,BOS,-0.6
Christian Encarnacion-Strand,CIN,-0.6
Jorge Mateo,BAL,-0.6
Carson Seymour,SFG,-0.6
Porter Hodge,CHC,-0.6
Kyle Gibson,BAL,-0.6
Endy Rodríguez,PIT,-0.6
Mark Canha,KCR,-0.7
Ryan Rolison,COL,-0.7
Tyler Locklear,ARI,-0.7
Anthony DeSclafani,ARI,-0.7
Jeimer Candelario,CIN,-0.7
George Soriano,MIA,-0.7
Abraham Toro,BOS,-0.7
Joshua Palacios,CHW,-0.7
Connor Wong,BOS,-0.7
Angel Chivilli,COL,-0.7
Mickey Gasper,MIN,-0.7
Sean Bouchard,COL,-0.7
Tyler Freeman,COL,-0.7
Luis Peralta,COL,-0.7
Yanquiel Fernández,COL,-0.8
Kevin Newman,LAA,-0.8
Martín Maldonado,SDP,-0.8
Joc Pederson,TEX,-0.8
Jacob Amaya,CHW,-0.8
Edouard Julien,MIN,-0.8
Logan O'Hoppe,LAA,-0.8
Bowden Francis,TOR,-0.8
DaShawn Keirsey Jr.,MIN,-0.9
Adael Amador,COL,-0.9
Trey Sweeney,DET,-0.9
Alex Verdugo,ATL,-0.9
Chad Green,TOR,-0.9
Nestor Cortes,MIL,-0.9
Hunter Renfroe,KCR,-0.9
Anthony Santander,TOR,-0.9
Bradley Blalock,COL,-1
Keibert Ruiz,WSN,-1
Jhonkensy Noel,CLE,-1.1
Kyle Farmer,COL,-1.1
Heston Kjerstad,BAL,-1.1
Jordan Walker,STL,-1.2
Josh Rojas,CHW,-1.3
LaMonte Wade Jr.,SFG,-1.6
Jac Caglianone,KCR,-1.6
Michael Toglia,COL,-2.2
